Ticker,Liquidity_Ratio,PE_Ratio,Dividend_Yield
VALE3,124,1082.0,10.59
PETR4,82,512.0,10.49
ITUB4,0,1001.0,11.37
AXIA3,192,-2454.0,7.11
BBDC4,0,837.0,7.9
B3SA3,262,1506.0,1.55
BBAS3,0,582.0,5.38
SBSP3,117,1302.0,4.63
BPAC11,0,1374.0,2.65
ABEV3,115,1362.0,8.04
RENT3,145,2762.0,4.41
WEGE3,178,3141.0,5.05
PETR3,82,542.0,9.93
ITSA4,218,823.0,14.48
EMBJ3,143,3708.0,0.86
SUZB3,320,993.0,0.0
EQTL3,157,1442.0,5.8
PRIO3,221,358.0,0.0
RDOR3,311,2093.0,10.57
LREN3,176,973.0,6.56
RAIL3,166,7343.0,5.48
VBBR3,209,1652.0,5.83
CSAN3,180,-160.0,0.0
HAPV3,198,-2387.0,0.0
MBRF3,109,1009.0,8.39
RADL3,139,3061.0,1.88
ENEV3,134,1148.4,0.0
GGBR4,270,1359.0,3.09
BBSE3,0,803.0,11.77
CYRE3,351,625.0,12.83
MGLU3,126,1886.0,3.25
ALOS3,306,1906.0,5.8
MOTV3,189,1052.0,3.22
BRAV3,172,805.0,0.0
TIMS3,96,2074.0,11.91
UGPA3,183,785.0,8.37
ENGI11,139,720.0,6.94
CPLE3,143,1767.0,3.04
SMFT3,146,2363.0,4.47
CEAB3,150,744.0,4.38
ASAI3,112,1073.0,1.47
POMO4,191,620.0,19.19
VIVT3,102,1764.0,5.06
NEOE3,123,892.0,1.75
AXIA6,192,-2542.0,6.23
CMIG4,89,797.0,8.02
TOTS3,235,3108.0,1.45
DIRR3,393,968.0,18.7
CPFE3,101,1127.0,5.24
TAEE11,167,842.0,7.67
